Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AtariLearn,0.577,6.597,9.630,10274,0.390
AtariLearn,0.540,12.072,8.640,10257,1.171
AtariLearn,0.540,17.680,8.890,10305,1.287
AtariLearn,0.541,23.294,8.885,10275,0.533
AtariLearn,0.551,28.936,8.925,10291,1.439
AtariLearn,0.542,34.526,8.835,10270,1.049
AtariLearn,0.545,40.080,8.771,10289,0.969
AtariLearn,0.542,45.521,8.566,10265,1.384
AtariLearn,0.540,51.033,8.704,10298,0.905
AtariLearn,0.546,56.658,8.872,10299,1.610
AtariLearn,0.546,62.237,8.816,10264,1.258
AtariLearn,0.549,67.773,8.724,10263,1.312
AtariLearn,0.544,73.288,8.704,10259,0.429
AtariLearn,0.550,78.893,8.855,10293,1.263
AtariLearn,0.544,84.541,8.929,10302,1.171
AtariLearn,0.545,90.166,8.902,10347,1.528
AtariLearn,0.544,95.711,8.759,10264,0.520
AtariLearn,0.558,101.336,8.859,10347,1.083
AtariLearn,0.557,106.958,8.862,10298,1.377
AtariLearn,0.562,112.782,9.208,10300,0.620
AtariLearn,0.563,118.533,9.085,10326,1.979
AtariLearn,0.554,124.204,8.945,10268,1.330
AtariLearn,0.556,129.996,9.134,10292,0.842
AtariLearn,0.557,135.929,9.412,10299,0.503
AtariLearn,0.623,141.718,9.032,10287,1.357
AtariLearn,0.557,147.405,8.978,10271,1.343
AtariLearn,0.561,153.416,9.519,10301,0.695
AtariLearn,0.556,159.170,9.096,10285,1.679
AtariLearn,0.552,166.748,12.763,10256,0.812
AtariLearn,0.556,172.514,9.111,10293,1.058
AtariLearn,0.558,178.358,9.217,10251,0.995
AtariLearn,0.559,184.080,9.030,10244,1.417
AtariLearn,0.554,189.914,9.211,10305,0.714
AtariLearn,0.552,195.475,8.757,10287,0.869
AtariLearn,0.566,201.151,8.924,10264,1.617
AtariLearn,0.552,206.948,9.187,10266,1.286
AtariLearn,0.553,212.523,8.773,10293,1.935
AtariLearn,0.557,218.186,8.926,10242,1.212
AtariLearn,0.548,223.672,8.644,10246,1.069
AtariLearn,0.544,229.218,8.765,10300,0.735
AtariLearn,0.542,234.803,8.802,10307,1.687
AtariLearn,0.547,240.416,8.880,10281,1.397
AtariLearn,0.544,245.920,8.686,10272,0.903
AtariLearn,0.545,251.446,8.721,10275,0.428
AtariLearn,0.544,256.953,8.680,10261,0.932
AtariLearn,0.546,262.562,8.868,10302,2.012
AtariLearn,0.548,268.065,8.673,10256,0.939
AtariLearn,0.544,273.616,8.771,10288,1.464
